uuid,story,candidate_count,committed_count,split_target_count,top_retention_targets,top_orientation_targets
19459014-f39b-4bf6-945e-c5b50930dea3,1,2,2,0,"[{""element_id"": ""19459014-f39b-4bf6-945e-c5b50930dea3::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.898303, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""19459014-f39b-4bf6-945e-c5b50930dea3::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.849415, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""19459014-f39b-4bf6-945e-c5b50930dea3::roof-oblique::oblique:1"", ""retention_support_score"": 0.719913, ""target_kind"": ""committed_oblique""}]","[{""element_id"": ""19459014-f39b-4bf6-945e-c5b50930dea3::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.887641, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""19459014-f39b-4bf6-945e-c5b50930dea3::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.870293, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""19459014-f39b-4bf6-945e-c5b50930dea3::roof-oblique::oblique:1"", ""orientation_support_score"": 0.772054, ""target_kind"": ""committed_oblique""}]"
1d26eda3-c927-4cdf-a3b0-218036828a55,1,3,3,6,"[{""element_id"": ""1d26eda3-c927-4cdf-a3b0-218036828a55::ceiling-oblique::ceiling-oblique:2"", ""retention_support_score"": 0.824995, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1d26eda3-c927-4cdf-a3b0-218036828a55::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.821276, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1d26eda3-c927-4cdf-a3b0-218036828a55::roof-oblique::oblique:2"", ""retention_support_score"": 0.820003, ""target_kind"": ""committed_oblique""}]","[{""element_id"": ""1d26eda3-c927-4cdf-a3b0-218036828a55::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.869686, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1d26eda3-c927-4cdf-a3b0-218036828a55::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.858887, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1d26eda3-c927-4cdf-a3b0-218036828a55::ceiling-oblique::ceiling-oblique:2"", ""orientation_support_score"": 0.852769, ""target_kind"": ""candidate_oblique""}]"
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,0,0,0,0,"[{""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::ridge-eave-candidate::plane-group::ee911d640517"", ""retention_support_score"": 0.678068, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::ridge-eave-candidate::plane-group::ee911d640517"", ""orientation_support_score"": 0.785336, ""target_kind"": ""ridge_eave_plane_group""}]"
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,7,2,21,"[{""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::ceiling-oblique::ceiling-oblique:5"", ""retention_support_score"": 0.85147, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::ceiling-oblique::ceiling-oblique:3"", ""retention_support_score"": 0.815194, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::roof-oblique::oblique:1"", ""retention_support_score"": 0.812988, ""target_kind"": ""committed_oblique""}]","[{""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::ceiling-oblique::ceiling-oblique:5"", ""orientation_support_score"": 0.86433, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::ceiling-oblique::ceiling-oblique:3"", ""orientation_support_score"": 0.858963, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3::roof-oblique::oblique:1"", ""orientation_support_score"": 0.848934, ""target_kind"": ""committed_oblique""}]"
21af2a12-2a29-44b5-b703-fbaa208996e9,1,3,3,0,"[{""element_id"": ""21af2a12-2a29-44b5-b703-fbaa208996e9::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.826894, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""21af2a12-2a29-44b5-b703-fbaa208996e9::roof-oblique::oblique:0"", ""retention_support_score"": 0.789217, ""target_kind"": ""committed_oblique""}, {""element_id"": ""21af2a12-2a29-44b5-b703-fbaa208996e9::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.747204, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""21af2a12-2a29-44b5-b703-fbaa208996e9::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.841964, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""21af2a12-2a29-44b5-b703-fbaa208996e9::roof-oblique::oblique:0"", ""orientation_support_score"": 0.823126, ""target_kind"": ""committed_oblique""}, {""element_id"": ""21af2a12-2a29-44b5-b703-fbaa208996e9::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.794984, ""target_kind"": ""candidate_oblique""}]"
2388d90c-8cc9-4cca-b232-d658e184074d,0,0,0,0,"[{""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ridge-eave-candidate::plane-group::2f9664930b62"", ""retention_support_score"": 0.795987, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ridge-eave-candidate::plane-group::d456d8d022e0"", ""retention_support_score"": 0.738502, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ridge-eave-candidate::plane-group::81fbcf40431f"", ""retention_support_score"": 0.731482, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ridge-eave-candidate::plane-group::2f9664930b62"", ""orientation_support_score"": 0.894369, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ridge-eave-candidate::plane-group::d456d8d022e0"", ""orientation_support_score"": 0.741179, ""target_kind"": ""ridge_eave_plane_group""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ridge-eave-candidate::plane-group::81fbcf40431f"", ""orientation_support_score"": 0.723629, ""target_kind"": ""ridge_eave_plane_group""}]"
2388d90c-8cc9-4cca-b232-d658e184074d,1,2,2,0,"[{""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.888895, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.885621, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::roof-oblique::oblique:1"", ""retention_support_score"": 0.757382, ""target_kind"": ""committed_oblique""}]","[{""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.921899, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.88746, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""2388d90c-8cc9-4cca-b232-d658e184074d::roof-oblique::oblique:0"", ""orientation_support_score"": 0.802, ""target_kind"": ""committed_oblique""}]"
287808db-3826-4351-b9a1-6f9831bdc870,2,2,2,0,"[{""element_id"": ""287808db-3826-4351-b9a1-6f9831bdc870::roof-oblique::oblique:0"", ""retention_support_score"": 0.807382, ""target_kind"": ""committed_oblique""}, {""element_id"": ""287808db-3826-4351-b9a1-6f9831bdc870::roof-oblique::oblique:1"", ""retention_support_score"": 0.760003, ""target_kind"": ""committed_oblique""}, {""element_id"": ""287808db-3826-4351-b9a1-6f9831bdc870::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.741416, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""287808db-3826-4351-b9a1-6f9831bdc870::roof-oblique::oblique:0"", ""orientation_support_score"": 0.853271, ""target_kind"": ""committed_oblique""}, {""element_id"": ""287808db-3826-4351-b9a1-6f9831bdc870::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.820289, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""287808db-3826-4351-b9a1-6f9831bdc870::roof-oblique::oblique:1"", ""orientation_support_score"": 0.793771, ""target_kind"": ""committed_oblique""}]"
29865ccb-e7e8-4ad6-a01c-d632f20761b7,1,2,2,0,"[{""element_id"": ""29865ccb-e7e8-4ad6-a01c-d632f20761b7::roof-oblique::oblique:1"", ""retention_support_score"": 0.918842, ""target_kind"": ""committed_oblique""}, {""element_id"": ""29865ccb-e7e8-4ad6-a01c-d632f20761b7::ceiling-oblique::ceiling-oblique:1"", ""retention_support_score"": 0.912035, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""29865ccb-e7e8-4ad6-a01c-d632f20761b7::ceiling-oblique::ceiling-oblique:0"", ""retention_support_score"": 0.838517, ""target_kind"": ""candidate_oblique""}]","[{""element_id"": ""29865ccb-e7e8-4ad6-a01c-d632f20761b7::ceiling-oblique::ceiling-oblique:1"", ""orientation_support_score"": 0.955969, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""29865ccb-e7e8-4ad6-a01c-d632f20761b7::ceiling-oblique::ceiling-oblique:0"", ""orientation_support_score"": 0.88007, ""target_kind"": ""candidate_oblique""}, {""element_id"": ""29865ccb-e7e8-4ad6-a01c-d632f20761b7::roof-oblique::oblique:1"", ""orientation_support_score"": 0.874232, ""target_kind"": ""committed_oblique""}]"
2d80b27f-ca29-4b3e-9197-ad3c4af7cbfb,0,0,0,0,"[{""element_id"": ""2d80b27f-ca29-4b3e-9197-ad3c4af7cbfb::ridge-eave-candidate::plane-group::c5a1f7a6d3ab"", ""retention_support_score"": 0.941168, ""target_kind"": ""ridge_eave_plane_group""}]","[{""element_id"": ""2d80b27f-ca29-4b3e-9197-ad3c4af7cbfb::ridge-eave-candidate::plane-group::c5a1f7a6d3ab"", ""orientation_support_score"": 0.90051, ""target_kind"": ""ridge_eave_plane_group""}]"
