uuid,story,target_element_id,piece_id,piece_area_xz_m2,crossed_room_count,crossed_room_ids,crossed_room_area_m2,along_span_m,across_span_m,through_ratio,local_competitor_loss_room_count,local_competitor_loss_area_m2,local_competitor_loss_fraction,local_top_competitor_ids,local_top_competitor_piece_ids,chain_signature,chain_signature_id,chain_signature_size,local_signature_competitor_piece_count,local_signature_competitor_target_ids,mirror_partner_plane_group_id,mirror_support_score,creator_eave_proximity,best_supported_chain_id,best_supported_chain_score,best_supported_chain_height_residual_m,creator_source_room_ids,creator_touch_room_ids,creator_source_room_count,creator_touch_room_count
2f382701-addb-48a5-8749-0e8e7f988a10,2,2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::ca0e5d8da3d9,2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::ca0e5d8da3d9#supported:0:0,7.942372,1,"[""room:8""]",7.942372,3.473923,2.286285,0.658128,0,0.0,0.0,[],[],"[""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:1"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:2"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:4"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:5"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:6"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:7"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:9""]",2f382701-addb-48a5-8749-0e8e7f988a10::face-run-signature::2:95bf038d6808,7,0,"[""2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::54d1cd1a9f12"", ""2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::ca0e5d8da3d9""]",2f382701-addb-48a5-8749-0e8e7f988a10::plane-group::54d1cd1a9f12,0.9853,0.3423,2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:7,0.899998,2.118084,"[""room:8""]","[""room:10"", ""room:11"", ""room:12"", ""room:4"", ""room:7"", ""room:8"", ""room:9""]",1,7
2f382701-addb-48a5-8749-0e8e7f988a10,2,2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::54d1cd1a9f12,2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::54d1cd1a9f12#supported:0:0,12.745749,2,"[""room:9"", ""room:10""]",12.745805,6.282954,5.86456,0.933408,0,0.0,0.0,[],[],"[""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:1"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:2"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:4"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:5"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:6"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:7"", ""2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:9""]",2f382701-addb-48a5-8749-0e8e7f988a10::face-run-signature::2:95bf038d6808,7,0,"[""2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::54d1cd1a9f12"", ""2f382701-addb-48a5-8749-0e8e7f988a10::ridge-eave-candidate::plane-group::ca0e5d8da3d9""]",2f382701-addb-48a5-8749-0e8e7f988a10::plane-group::ca0e5d8da3d9,0.9853,0.3423,2f382701-addb-48a5-8749-0e8e7f988a10::eave-chain::2:5,0.978298,0.064157,"[""room:10"", ""room:9""]","[""room:10"", ""room:11"", ""room:12"", ""room:4"", ""room:7"", ""room:8"", ""room:9""]",2,7
3297bc28-5d39-4358-bd2e-0f1183cae489,1,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::273c9b9ffc8e,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::273c9b9ffc8e#supported:0:0,53.385728,4,"[""room:5"", ""room:6"", ""room:7"", ""room:8""]",55.395282,7.255914,8.039954,1.108055,0,0.0,0.0,[],[],"[""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:1"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:10"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:3"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:5"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:6"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:8""]",3297bc28-5d39-4358-bd2e-0f1183cae489::face-run-signature::1:e77b49322e8f,7,0,"[""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::0fccafb89e62"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::273c9b9ffc8e""]",3297bc28-5d39-4358-bd2e-0f1183cae489::plane-group::af1d6193663e,0.4159,0.1304,3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0,0.956126,0.148984,"[""room:5""]","[""room:10"", ""room:11"", ""room:12"", ""room:13"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",1,8
3297bc28-5d39-4358-bd2e-0f1183cae489,1,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::58c0dcde4f0b,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::58c0dcde4f0b#supported:0:0,53.334745,4,"[""room:5"", ""room:6"", ""room:7"", ""room:8""]",55.394938,8.039271,7.255972,0.902566,0,0.0,0.0,[],[],"[""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:2"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:4"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:7""]",3297bc28-5d39-4358-bd2e-0f1183cae489::face-run-signature::1:edae8a3fd058,3,0,"[""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::58c0dcde4f0b""]",,,,3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:2,0.922121,0.31144,"[""room:5""]","[""room:10"", ""room:11"", ""room:12"", ""room:13"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",1,8
3297bc28-5d39-4358-bd2e-0f1183cae489,1,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::0fccafb89e62,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::0fccafb89e62#supported:0:0,26.082091,4,"[""room:5"", ""room:6"", ""room:7"", ""room:8""]",28.391017,7.219149,6.092823,0.843981,0,0.0,0.0,[],[],"[""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:1"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:10"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:3"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:5"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:6"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:8""]",3297bc28-5d39-4358-bd2e-0f1183cae489::face-run-signature::1:e77b49322e8f,7,0,"[""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::0fccafb89e62"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::273c9b9ffc8e""]",3297bc28-5d39-4358-bd2e-0f1183cae489::plane-group::af1d6193663e,0.9989,0.147,3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0,0.892436,5.298018,"[""room:10"", ""room:12"", ""room:13"", ""room:9""]","[""room:10"", ""room:11"", ""room:12"", ""room:13"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",4,8
3297bc28-5d39-4358-bd2e-0f1183cae489,1,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e#supported:0:0,1.177955,2,"[""room:5"", ""room:6""]",1.965117,0.837108,1.410693,1.685199,0,0.0,0.0,[],[],"[""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0""]",3297bc28-5d39-4358-bd2e-0f1183cae489::face-run-signature::1:7e2c3197acfd,1,0,"[""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e""]",3297bc28-5d39-4358-bd2e-0f1183cae489::plane-group::0fccafb89e62,0.9989,0.147,3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0,0.892014,8.557757,"[""room:11"", ""room:12""]","[""room:10"", ""room:11"", ""room:12"", ""room:13"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",2,8
3297bc28-5d39-4358-bd2e-0f1183cae489,1,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e#supported:1:0,0.185141,1,"[""room:6""]",0.185141,0.398704,0.467516,1.172588,0,0.0,0.0,[],[],"[""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:1""]",3297bc28-5d39-4358-bd2e-0f1183cae489::face-run-signature::1:552455122e7c,1,0,"[""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e""]",3297bc28-5d39-4358-bd2e-0f1183cae489::plane-group::0fccafb89e62,0.9989,0.147,3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0,0.892014,8.557757,"[""room:11"", ""room:12""]","[""room:10"", ""room:11"", ""room:12"", ""room:13"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",2,8
3297bc28-5d39-4358-bd2e-0f1183cae489,1,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e,3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e#supported:2:0,29.472837,4,"[""room:5"", ""room:6"", ""room:7"", ""room:8""]",30.797258,6.82723,5.450668,0.798372,0,0.0,0.0,[],[],"[""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:10"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:3"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:5"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:6"", ""3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:8""]",3297bc28-5d39-4358-bd2e-0f1183cae489::face-run-signature::1:f35aceb1626c,5,0,"[""3297bc28-5d39-4358-bd2e-0f1183cae489::ridge-eave-candidate::plane-group::af1d6193663e""]",3297bc28-5d39-4358-bd2e-0f1183cae489::plane-group::0fccafb89e62,0.9989,0.147,3297bc28-5d39-4358-bd2e-0f1183cae489::eave-chain::1:0,0.892014,8.557757,"[""room:11"", ""room:12""]","[""room:10"", ""room:11"", ""room:12"", ""room:13"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",2,8
37e9355f-29a7-4303-abae-240c55df13e4,0,37e9355f-29a7-4303-abae-240c55df13e4::ridge-eave-candidate::plane-group::47368e73e39a,37e9355f-29a7-4303-abae-240c55df13e4::ridge-eave-candidate::plane-group::47368e73e39a#supported:0:0,15.522638,4,"[""room:6"", ""room:7"", ""room:9"", ""room:10""]",15.522613,4.953186,4.297177,0.867558,0,0.0,0.0,[],[],"[""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:1"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:11"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:15"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:3"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:5"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:6"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:7"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:8"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:9""]",37e9355f-29a7-4303-abae-240c55df13e4::face-run-signature::0:2eaf2fc1f10f,9,0,"[""37e9355f-29a7-4303-abae-240c55df13e4::ridge-eave-candidate::plane-group::47368e73e39a""]",,,,37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:15,0.899983,0.943633,"[""room:9""]","[""room:0"", ""room:1"", ""room:10"", ""room:11"", ""room:2"", ""room:3"", ""room:4"", ""room:5"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",1,12
37e9355f-29a7-4303-abae-240c55df13e4,0,37e9355f-29a7-4303-abae-240c55df13e4::ridge-eave-candidate::plane-group::31dd1d8452ac,37e9355f-29a7-4303-abae-240c55df13e4::ridge-eave-candidate::plane-group::31dd1d8452ac#supported:0:0,120.564583,12,"[""room:0"", ""room:1"", ""room:2"", ""room:3"", ""room:4"", ""room:5"", ""room:6"", ""room:7"", ""room:8"", ""room:9"", ""room:10"", ""room:11""]",120.566254,14.104898,11.082401,0.785713,0,0.0,0.0,[],[],"[""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:0"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:10"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:12"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:13"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:14"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:2"", ""37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:4""]",37e9355f-29a7-4303-abae-240c55df13e4::face-run-signature::0:775382ff5eca,7,0,"[""37e9355f-29a7-4303-abae-240c55df13e4::ridge-eave-candidate::plane-group::31dd1d8452ac""]",,,,37e9355f-29a7-4303-abae-240c55df13e4::eave-chain::0:14,0.939608,0.24136,"[""room:9""]","[""room:0"", ""room:1"", ""room:10"", ""room:11"", ""room:2"", ""room:3"", ""room:4"", ""room:5"", ""room:6"", ""room:7"", ""room:8"", ""room:9""]",1,12
