uuid,story,room_index,n_planes_scored,n_disagree,disagreement_rate,building_n_stories,is_top_story,is_ground_story,is_only_story,exterior_edge_frac,perimeter_m,max_floor_dim_m,floor_area_m2,aspect_ratio
0d3f2993-8386-4130-8f1c-b2938c410828,1,1,10,5,0.5,2,True,False,False,0.454,41.0,11.95,26.92,1.69
0d3f2993-8386-4130-8f1c-b2938c410828,1,2,2,1,0.5,2,True,False,False,0.314,12.6,4.19,9.27,1.68
0d3f2993-8386-4130-8f1c-b2938c410828,1,3,3,2,0.667,2,True,False,False,0.354,9.75,2.77,4.8,1.2
0d3f2993-8386-4130-8f1c-b2938c410828,1,4,8,3,0.375,2,True,False,False,0.235,40.2,7.87,14.97,1.21
0d3f2993-8386-4130-8f1c-b2938c410828,1,5,5,4,0.8,2,True,False,False,0.307,28.51,7.54,10.97,2.2
0d3f2993-8386-4130-8f1c-b2938c410828,1,6,6,4,0.667,2,True,False,False,0.745,14.23,3.79,12.65,1.02
0d3f2993-8386-4130-8f1c-b2938c410828,0,7,1,0,0.0,2,False,True,False,0.49,14.78,4.6,12.33,1.62
0d3f2993-8386-4130-8f1c-b2938c410828,0,10,1,0,0.0,2,False,True,False,0.339,19.15,6.48,11.72,1.97
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,0,1,0,0.0,1,True,False,True,0.672,30.24,10.67,50.69,1.18
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,1,1,0,0.0,1,True,False,True,0.085,108.76,19.82,70.55,1.32
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,2,1,0,0.0,1,True,False,True,0.187,10.4,3.7,6.55,1.02
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,3,1,0,0.0,1,True,False,True,0.445,19.72,7.07,18.85,1.19
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,4,1,0,0.0,1,True,False,True,0.099,12.2,4.33,9.3,1.01
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,5,1,0,0.0,1,True,False,True,0.0,9.86,3.52,5.83,1.02
0f911051-6084-4f0d-8f9a-24fc5b20f6ff,0,6,2,0,0.0,1,True,False,True,0.069,18.1,6.54,10.65,1.21
