uuid,total_edges,horizontal_edges,sloped_edges,ridge_or_hip_edges,eave_edges,isolated_horizontal_edges,pipeline_oblique_clusters,pipeline_oblique_surfaces,ridge_minus_clusters
5831141f-829c-4adb-9bae-289c2140c72d,145,92,53,30,46,16,5,2,25
59b505e7-b384-451b-90b1-80f2654dd10d,251,168,83,40,66,62,4,4,36
5a97cb51-78cd-40c7-9dd5-423bdea306a6,54,47,7,6,33,8,2,2,4
5c557e06-393e-466e-a957-f7391b76b8ff,94,49,45,5,24,20,3,3,2
5ecc6e8c-228b-4167-9331-de247c802320,184,99,85,24,46,29,2,2,22
60f2f02b-8910-461c-879a-75925d256989,116,82,34,14,32,36,3,3,11
60fa343a-d19a-4d18-b939-33b80e790be6,128,90,38,18,52,20,0,0,18
612d1bc8-dbed-47cb-aef5-3e64964ccc04,52,52,0,0,37,15,0,0,0
6203a969-742b-4935-bc4d-8eae644b8f73,66,61,5,4,42,15,2,2,2
66a72e63-8b3c-4e57-977b-32f5119a9d09,272,174,98,52,60,62,2,2,50
670a8030-c451-4e80-badd-6702cef02a03,148,99,49,28,55,16,2,2,26
6c29deb7-51e6-437d-bfe4-0eb83e559881,208,122,86,32,55,35,3,2,29
6e8a252f-fc38-4ffa-8691-3f43938a0a16,54,54,0,0,35,19,0,0,0
7153d532-16c1-45e8-b7c9-f5cd1ba5cc85,196,126,70,29,43,54,4,4,25
71ee522c-1e78-411f-b3ce-33d59516038f,93,66,27,15,31,20,2,2,13
720c2f50-9586-47b5-b27c-130214cd8b5d,123,85,38,22,45,18,4,4,18
72122129-7ee2-4a14-a645-23d44df3d2b5,141,121,20,15,82,24,2,2,13
73465f84-d5f5-4b84-8509-0e818beb5ecd,105,83,22,14,39,30,1,1,13
73c1d779-2257-4e39-838a-5b026bca2401,69,67,2,2,40,25,0,0,2
777b25c6-42e6-40d3-a0a4-aaafdd23842e,82,52,30,12,32,8,2,2,10
7791ff1d-7641-4da1-8380-1773d30a7bcc,48,48,0,0,27,21,0,0,0
795ceae3-b6ef-42bc-bd48-9b69f06e9de6,57,53,4,4,33,16,1,1,3
7cabc39b-6328-4a6e-9491-822fa6b3c3fb,59,36,23,2,24,10,4,4,-2
7dbc53a6-17e8-4806-83de-42286b95726c,379,203,176,73,66,64,3,2,70
7e42a701-1f0a-451a-8229-05f581454979,64,64,0,0,45,19,0,0,0
85b7d943-95c9-4937-af42-121f705ed3e0,44,44,0,0,29,15,0,0,0
873952bc-1159-43dd-b4bd-6535a55c57cf,143,75,68,27,28,20,2,2,25
893d4535-3169-4907-a93a-b3ab8f66ec1c,161,102,59,30,43,29,3,3,27
8ab161a4-c958-49c9-8ca8-7a997292d52f,45,38,7,0,36,2,0,0,0
8b723372-749f-4992-a044-d62bb99b84cc,100,62,38,16,34,12,2,2,14
8e7e69b2-e1db-4482-8f21-93be6904a5f1,92,71,21,2,51,18,1,1,1
8fc0de5f-99be-4295-b529-d389a4670a8f,35,35,0,0,29,6,0,0,0
90683bb0-28ca-42a8-82b8-09d82cd434d5,98,49,49,17,30,2,2,2,15
91f66e67-37e3-4cc9-9815-a4ce71c56a0a,40,40,0,0,31,9,0,0,0
938d6ed6-d916-462b-ba37-f421feb2af21,150,144,6,0,68,76,1,0,-1
940c5969-1037-4f02-810b-6d4c89b0582b,31,31,0,0,26,5,0,0,0
9419424d-2dd9-4dd2-a9d9-e029e32c1f28,112,82,30,24,48,10,1,1,23
945b16b9-0ebf-409e-af08-aab7672801d2,52,38,14,0,29,9,1,1,-1
964a40ac-d9df-44e1-b64b-84e02b909004,59,53,6,2,39,12,1,0,1
97571caa-1065-4ac5-a385-2ec9758026dd,128,67,61,6,33,28,2,2,4
9829323a-4939-45bf-ae66-b950b18ddf52,46,33,13,2,21,10,0,0,2
